Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Mike Clark,U.S. House,CD-31,2016,-0.988,-1.325,-0.652,Democratic,Texas,31
Richard A. Morckel,U.S. House,CD-13,2016,0.036,-0.388,0.469,Republican,Ohio,13
Terri E. Bonoff,U.S. House,CD-3,2016,-2.315,-2.547,-2.086,Democratic,Minnesota,3
Alina Valdes,U.S. House,CD-25,2016,-0.58,-0.956,-0.209,Democratic,Florida,25
Lenore Solis,U.S. House,CD-28,2016,-1.822,-2.159,-1.495,Republican,California,28
Omar Navarro,U.S. House,CD-43,2016,-0.549,-0.92,-0.199,Republican,California,43
Omar Navarro,U.S. House,CD-43,2018,-0.363,-0.679,-0.053,Republican,California,43
Omar Navarro,U.S. House,CD-43,2022,-0.527,-0.922,-0.129,Republican,California,43
Art Halvorson,U.S. House,CD-9,2016,0.973,0.704,1.245,Democratic,Pennsylvania,9
Matt Rowe,U.S. House,CD-1,2016,-0.928,-1.219,-0.633,Democratic,Virginia,1
Junius Rodriguez,U.S. House,CD-18,2016,-1.588,-1.87,-1.289,Democratic,Illinois,18
Junius Rodriguez,U.S. House,CD-18,2018,-1.881,-2.119,-1.652,Democratic,Illinois,18
Mike Gallagher,U.S. House,CD-8,2016,1.524,1.361,1.693,Republican,Wisconsin,8
Mike Gallagher,U.S. House,CD-8,2018,1.515,1.352,1.671,Republican,Wisconsin,8
Mike Gallagher,U.S. House,CD-8,2020,1.707,1.558,1.869,Republican,Wisconsin,8
Mike Gallagher,U.S. House,CD-8,2022,1.686,1.544,1.827,Republican,Wisconsin,8
Kim Weaver,U.S. House,CD-4,2016,-1.501,-1.798,-1.202,Democratic,Iowa,4
Angel Cadena,U.S. House,CD-3,2016,-0.548,-0.892,-0.189,Republican,Connecticut,3
Angel Cadena,U.S. House,CD-3,2018,-0.502,-0.843,-0.159,Republican,Connecticut,3
Jennifer Martinez,U.S. House,CD-2,2016,-1.381,-1.743,-1.021,Democratic,Idaho,2
Dwight Evans,U.S. House,CD-2,2016,-2.123,-2.299,-1.94,Democratic,Pennsylvania,2
Dwight Evans,U.S. House,CD-3,2018,-2.283,-2.443,-2.126,Democratic,Pennsylvania,3
