Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Keith Fitzgerald,U.S. House,CD-16,2012,-1.753,-1.904,-1.605,Democratic,Florida,16
Thaddeus McCotter,U.S. House,CD-11,2010,1.567,1.402,1.74,Republican,Michigan,11
LeAnne Kolb,U.S. House,CD-5,2012,0.441,0.091,0.806,Republican,Florida,5
Rose Meza Harrison,U.S. House,CD-27,2012,-1.482,-1.76,-1.208,Democratic,Texas,27
Blake Farenthold,U.S. House,CD-27,2010,1.44,1.2,1.663,Republican,Texas,27
Blake Farenthold,U.S. House,CD-27,2012,1.58,1.434,1.73,Republican,Texas,27
Blake Farenthold,U.S. House,CD-27,2014,1.643,1.489,1.801,Republican,Texas,27
Blake Farenthold,U.S. House,CD-27,2016,1.684,1.512,1.857,Republican,Texas,27
"Solomon Ortiz, Sr.",U.S. House,CD-27,2010,-2.107,-2.395,-1.825,Democratic,Texas,27
Mike Turner,U.S. House,CD-3,2010,1.304,1.156,1.46,Republican,Ohio,3
Mike Turner,U.S. House,CD-10,2012,1.281,1.166,1.393,Republican,Ohio,10
Mike Turner,U.S. House,CD-10,2014,1.233,1.098,1.365,Republican,Ohio,10
Mike Turner,U.S. House,CD-10,2016,1.243,1.088,1.398,Republican,Ohio,10
Mike Turner,U.S. House,CD-10,2018,1.478,1.323,1.636,Republican,Ohio,10
Mike Turner,U.S. House,CD-10,2020,1.653,1.504,1.804,Republican,Ohio,10
Mike Turner,U.S. House,CD-10,2022,1.512,1.367,1.662,Republican,Ohio,10
Mike Turner,U.S. House,CD-10,2024,1.391,1.23,1.552,Republican,Ohio,10
Pam Gulleson,U.S. House,CD-1,2012,-1.448,-1.662,-1.233,Democratic,North Dakota,1
Kevin Cramer,U.S. House,CD-1,2012,1.369,1.201,1.538,Republican,North Dakota,1
Kevin Cramer,U.S. House,CD-1,2014,1.491,1.343,1.64,Republican,North Dakota,1
Kevin Cramer,U.S. House,CD-1,2016,1.473,1.268,1.685,Republican,North Dakota,1
Kevin Cramer,U.S. Senate,Sen-I,2018,2.216,2.051,2.387,Republican,North Dakota,100
Kevin Cramer,U.S. Senate,Sen-I,2024,1.897,1.71,2.088,Republican,North Dakota,100
Tom Petri,U.S. House,CD-6,2010,1.09,0.924,1.257,Republican,Wisconsin,6
Tom Petri,U.S. House,CD-6,2012,1.067,0.941,1.192,Republican,Wisconsin,6
James Lankford,U.S. House,CD-5,2010,1.932,1.773,2.094,Republican,Oklahoma,5
James Lankford,U.S. House,CD-5,2012,2.017,1.889,2.154,Republican,Oklahoma,5
James Lankford,U.S. Senate,Sen-III,2016,1.995,1.899,2.093,Republican,Oklahoma,102
James Lankford,U.S. Senate,Sen-III,2022,2.015,1.919,2.11,Republican,Oklahoma,102
Mary Fallin,Governor,Gov,2010,1.689,1.546,1.822,Republican,Oklahoma,103
Mary Fallin,Governor,Gov,2014,1.894,1.805,1.982,Republican,Oklahoma,103
David Crowley,U.S. House,CD-2,2012,0.808,0.568,1.054,Republican,Hawaii,2
David Crowley,U.S. House,CD-2,2014,0.857,0.595,1.113,Republican,Hawaii,2
Rob Woodall,U.S. House,CD-7,2010,1.505,1.312,1.691,Republican,Georgia,7
Rob Woodall,U.S. House,CD-7,2012,1.62,1.495,1.747,Republican,Georgia,7
Rob Woodall,U.S. House,CD-7,2014,1.566,1.414,1.715,Republican,Georgia,7
Rob Woodall,U.S. House,CD-7,2016,1.456,1.278,1.621,Republican,Georgia,7
Rob Woodall,U.S. House,CD-7,2018,1.568,1.418,1.715,Republican,Georgia,7
Kay Granger,U.S. House,CD-12,2010,1.134,0.973,1.295,Republican,Texas,12
Kay Granger,U.S. House,CD-12,2012,1.211,1.088,1.335,Republican,Texas,12
Kay Granger,U.S. House,CD-12,2014,1.153,1.012,1.297,Republican,Texas,12
Kay Granger,U.S. House,CD-12,2016,1.099,0.947,1.251,Republican,Texas,12
Kay Granger,U.S. House,CD-12,2018,1.29,1.147,1.44,Republican,Texas,12
Kay Granger,U.S. House,CD-12,2020,1.359,1.215,1.506,Republican,Texas,12
Kay Granger,U.S. House,CD-12,2022,1.337,1.194,1.483,Republican,Texas,12
Maurice D. Hinchey,U.S. House,CD-22,2010,-2.617,-2.802,-2.438,Democratic,New York,22
Dam Lamb,U.S. House,CD-22,2012,-1.685,-1.909,-1.466,Democratic,New York,22
Richard Hanna,U.S. House,CD-24,2010,1.017,0.814,1.242,Republican,New York,24
Richard Hanna,U.S. House,CD-22,2012,0.857,0.72,0.998,Republican,New York,22
Richard Hanna,U.S. House,CD-22,2014,0.366,0.208,0.52,Republican,New York,22
Ed Markey,U.S. House,CD-7,2010,-2.616,-2.815,-2.424,Democratic,Massachusetts,7
Ed Markey,U.S. House,CD-5,2012,-2.497,-2.632,-2.362,Democratic,Massachusetts,5
Ed Markey,U.S. Senate,Sen-II,2014,-2.51,-2.58,-2.443,Democratic,Massachusetts,101
Ed Markey,U.S. Senate,Sen-II,2020,-2.947,-3.026,-2.867,Democratic,Massachusetts,101
Tom Tierney,U.S. House,CD-5,2012,-1.093,-1.361,-0.822,Republican,Massachusetts,5
Cassandra Shober,U.S. House,CD-2,2012,-1.443,-1.754,-1.125,Democratic,New Jersey,2
Frank LoBiondo,U.S. House,CD-2,2010,0.675,0.508,0.842,Republican,New Jersey,2
Frank LoBiondo,U.S. House,CD-2,2012,0.894,0.755,1.034,Republican,New Jersey,2
Frank LoBiondo,U.S. House,CD-2,2014,0.803,0.658,0.951,Republican,New Jersey,2
Frank LoBiondo,U.S. House,CD-2,2016,0.734,0.559,0.909,Republican,New Jersey,2
Sharen Swartz Neuhardt,U.S. House,CD-10,2012,-1.841,-2.044,-1.647,Democratic,Ohio,10
Chris Perkins,U.S. House,CD-11,2012,1.617,1.397,1.837,Republican,Virginia,11
Wayne Winsley,U.S. House,CD-3,2012,0.795,0.452,1.135,Republican,Connecticut,3
Jim Himes,U.S. House,CD-4,2010,-2.013,-2.185,-1.845,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2012,-2.048,-2.196,-1.901,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2014,-2.067,-2.223,-1.911,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2016,-2.105,-2.269,-1.941,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2018,-2.162,-2.333,-1.989,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2020,-2.246,-2.417,-2.079,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2022,-2.22,-2.4,-2.048,Democratic,Connecticut,4
Jim Himes,U.S. House,CD-4,2024,-2.167,-2.369,-1.961,Democratic,Connecticut,4
Steve Obsitnik,U.S. House,CD-4,2012,1.137,0.891,1.379,Republican,Connecticut,4
Thomas A. Marino,U.S. House,CD-10,2010,1.423,1.255,1.594,Republican,Pennsylvania,10
Thomas A. Marino,U.S. House,CD-10,2012,1.445,1.321,1.57,Republican,Pennsylvania,10
Thomas A. Marino,U.S. House,CD-10,2014,1.463,1.329,1.6,Republican,Pennsylvania,10
Thomas A. Marino,U.S. House,CD-10,2016,1.422,1.286,1.562,Republican,Pennsylvania,10
Thomas A. Marino,U.S. House,CD-12,2018,1.468,1.312,1.624,Republican,Pennsylvania,12
Rob Biship,U.S. House,CD-1,2010,1.553,1.385,1.717,Republican,Utah,1
Rob Biship,U.S. House,CD-1,2012,1.618,1.5,1.737,Republican,Utah,1
Rob Biship,U.S. House,CD-1,2014,1.64,1.491,1.787,Republican,Utah,1
Rob Biship,U.S. House,CD-1,2016,1.727,1.557,1.896,Republican,Utah,1
Rob Biship,U.S. House,CD-1,2018,1.973,1.805,2.139,Republican,Utah,1
Shannon Roberts,U.S. House,CD-15,2010,-1.019,-1.252,-0.786,Democratic,Florida,15
Shannon Roberts,U.S. House,CD-8,2012,-1.074,-1.271,-0.872,Democratic,Florida,8
Bill Posey,U.S. House,CD-15,2010,1.489,1.354,1.621,Republican,Florida,15
Bill Posey,U.S. House,CD-8,2012,1.554,1.442,1.664,Republican,Florida,8
Bill Posey,U.S. House,CD-8,2014,1.529,1.395,1.662,Republican,Florida,8
Bill Posey,U.S. House,CD-8,2016,1.408,1.254,1.554,Republican,Florida,8
Bill Posey,U.S. House,CD-8,2018,1.532,1.393,1.67,Republican,Florida,8
Bill Posey,U.S. House,CD-8,2020,1.816,1.669,1.965,Republican,Florida,8
Bill Posey,U.S. House,CD-8,2022,1.907,1.761,2.058,Republican,Florida,8
Jim Jordan,U.S. House,CD-4,2010,1.813,1.63,1.992,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2012,1.899,1.76,2.045,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2014,1.897,1.733,2.063,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2016,2.028,1.842,2.215,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2018,2.147,1.96,2.328,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2020,2.452,2.272,2.645,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2022,2.549,2.381,2.722,Republican,Ohio,4
Jim Jordan,U.S. House,CD-4,2024,2.457,2.276,2.64,Republican,Ohio,4
Al Green,U.S. House,CD-9,2010,-2.327,-2.527,-2.123,Democratic,Texas,9
Al Green,U.S. House,CD-9,2012,-2.273,-2.436,-2.112,Democratic,Texas,9
Al Green,U.S. House,CD-9,2014,-2.276,-2.457,-2.101,Democratic,Texas,9
Al Green,U.S. House,CD-9,2016,-2.198,-2.368,-2.019,Democratic,Texas,9
Al Green,U.S. House,CD-9,2018,-2.319,-2.502,-2.14,Democratic,Texas,9
Al Green,U.S. House,CD-9,2020,-2.398,-2.571,-2.232,Democratic,Texas,9
Al Green,U.S. House,CD-9,2022,-2.378,-2.552,-2.208,Democratic,Texas,9
Al Green,U.S. House,CD-9,2024,-2.36,-2.544,-2.177,Democratic,Texas,9
Sheila Jackson Lee,U.S. House,CD-18,2010,-2.949,-3.16,-2.732,Democratic,Texas,18
Sheila Jackson Lee,U.S. House,CD-18,2012,-2.966,-3.147,-2.781,Democratic,Texas,18
Sheila Jackson Lee,U.S. House,CD-18,2014,-2.906,-3.111,-2.712,Democratic,Texas,18
Sheila Jackson Lee,U.S. House,CD-18,2016,-2.707,-2.914,-2.509,Democratic,Texas,18
Sheila Jackson Lee,U.S. House,CD-18,2018,-2.579,-2.778,-2.381,Democratic,Texas,18
Sheila Jackson Lee,U.S. House,CD-18,2020,-2.525,-2.71,-2.339,Democratic,Texas,18
Sheila Jackson Lee,U.S. House,CD-18,2022,-2.51,-2.716,-2.308,Democratic,Texas,18
Pete Olson,U.S. House,CD-22,2010,1.584,1.414,1.756,Republican,Texas,22
Pete Olson,U.S. House,CD-22,2012,1.709,1.579,1.842,Republican,Texas,22
Pete Olson,U.S. House,CD-22,2014,1.654,1.499,1.804,Republican,Texas,22
Pete Olson,U.S. House,CD-22,2016,1.634,1.467,1.803,Republican,Texas,22
Pete Olson,U.S. House,CD-22,2018,1.551,1.389,1.712,Republican,Texas,22
Max Martin,U.S. House,CD-36,2012,-1.354,-1.741,-0.982,Democratic,Texas,36
Steve Stockman,U.S. House,CD-36,2012,1.769,1.568,1.972,Republican,Texas,36
Joyce Beatty,U.S. House,CD-3,2012,-2.124,-2.292,-1.955,Democratic,Ohio,3
Joyce Beatty,U.S. House,CD-3,2014,-2.159,-2.305,-2.014,Democratic,Ohio,3
Joyce Beatty,U.S. House,CD-3,2016,-2.149,-2.29,-2.01,Democratic,Ohio,3
Joyce Beatty,U.S. House,CD-3,2018,-2.278,-2.424,-2.125,Democratic,Ohio,3
Joyce Beatty,U.S. House,CD-3,2020,-2.4,-2.545,-2.254,Democratic,Ohio,3
Joyce Beatty,U.S. House,CD-3,2022,-2.401,-2.535,-2.27,Democratic,Ohio,3
Joyce Beatty,U.S. House,CD-3,2024,-2.333,-2.483,-2.181,Democratic,Ohio,3
Teresa Hensley,U.S. House,CD-4,2012,-1.042,-1.251,-0.829,Democratic,Missouri,4
Vicky Hartzler,U.S. House,CD-4,2010,1.568,1.37,1.764,Republican,Missouri,4
Vicky Hartzler,U.S. House,CD-4,2012,1.727,1.608,1.852,Republican,Missouri,4
Vicky Hartzler,U.S. House,CD-4,2014,1.711,1.571,1.858,Republican,Missouri,4
Vicky Hartzler,U.S. House,CD-4,2016,1.686,1.528,1.84,Republican,Missouri,4
Vicky Hartzler,U.S. House,CD-4,2018,1.854,1.695,2.008,Republican,Missouri,4
Vicky Hartzler,U.S. House,CD-4,2020,2.012,1.863,2.163,Republican,Missouri,4
Betty Sutton,U.S. House,CD-13,2010,-2.263,-2.423,-2.097,Democratic,Ohio,13
Betty Sutton,U.S. House,CD-16,2012,-2.32,-2.434,-2.202,Democratic,Ohio,16
Bill Foster,U.S. House,CD-14,2010,-1.702,-1.863,-1.54,Democratic,Illinois,14
Bill Foster,U.S. House,CD-11,2012,-1.6,-1.738,-1.461,Democratic,Illinois,11
Bill Foster,U.S. House,CD-11,2014,-1.521,-1.68,-1.36,Democratic,Illinois,11
Bill Foster,U.S. House,CD-11,2016,-1.606,-1.791,-1.422,Democratic,Illinois,11
Bill Foster,U.S. House,CD-11,2018,-1.953,-2.138,-1.775,Democratic,Illinois,11
Bill Foster,U.S. House,CD-11,2020,-1.91,-2.09,-1.739,Democratic,Illinois,11
Bill Foster,U.S. House,CD-11,2022,-1.833,-2.011,-1.655,Democratic,Illinois,11
Bill Foster,U.S. House,CD-11,2024,-1.96,-2.149,-1.78,Democratic,Illinois,11
Ileana Ros-Lehtinen,U.S. House,CD-18,2010,1.046,0.864,1.226,Republican,Florida,18
Ileana Ros-Lehtinen,U.S. House,CD-27,2012,1.092,0.948,1.236,Republican,Florida,27
Ileana Ros-Lehtinen,U.S. House,CD-27,2014,1.318,1.146,1.507,Republican,Florida,27
Ileana Ros-Lehtinen,U.S. House,CD-27,2016,1.023,0.837,1.208,Republican,Florida,27
Albio Sires,U.S. House,CD-13,2010,-1.977,-2.269,-1.698,Democratic,New Jersey,13
Albio Sires,U.S. House,CD-8,2012,-1.865,-2.059,-1.664,Democratic,New Jersey,8
Albio Sires,U.S. House,CD-8,2014,-1.858,-2.062,-1.657,Democratic,New Jersey,8
Albio Sires,U.S. House,CD-8,2016,-1.821,-2.025,-1.614,Democratic,New Jersey,8
Albio Sires,U.S. House,CD-8,2018,-1.859,-2.041,-1.675,Democratic,New Jersey,8
Albio Sires,U.S. House,CD-8,2020,-1.87,-2.067,-1.674,Democratic,New Jersey,8
Maria Karczewski,U.S. House,CD-8,2012,0.057,-0.466,0.584,Republican,New Jersey,8
Laura Richardson,U.S. House,CD-37,2010,-2.203,-2.452,-1.947,Democratic,California,37
Laura Richardson,U.S. House,CD-44,2012,-2.23,-2.454,-2.018,Democratic,California,44
Brian Barnes,U.S. House,CD-3,2012,-1.624,-1.852,-1.396,Democratic,Minnesota,3
Erik Paulsen,U.S. House,CD-3,2010,1.408,1.25,1.57,Republican,Minnesota,3
Erik Paulsen,U.S. House,CD-3,2012,1.433,1.31,1.559,Republican,Minnesota,3
Erik Paulsen,U.S. House,CD-3,2014,1.256,1.119,1.389,Republican,Minnesota,3
Erik Paulsen,U.S. House,CD-3,2016,1.342,1.202,1.485,Republican,Minnesota,3
Erik Paulsen,U.S. House,CD-3,2018,1.523,1.353,1.702,Republican,Minnesota,3
Mike Obermueller,U.S. House,CD-2,2012,-1.645,-1.826,-1.467,Democratic,Minnesota,2
Mike Obermueller,U.S. House,CD-2,2014,-1.573,-1.76,-1.38,Democratic,Minnesota,2
Raul Labrador,U.S. House,CD-1,2010,1.352,1.132,1.555,Republican,Idaho,1
Raul Labrador,U.S. House,CD-1,2012,1.826,1.712,1.94,Republican,Idaho,1
Raul Labrador,U.S. House,CD-1,2014,1.899,1.779,2.023,Republican,Idaho,1
Raul Labrador,U.S. House,CD-1,2016,1.962,1.824,2.096,Republican,Idaho,1
Walter Minnick,U.S. House,CD-1,2010,-0.453,-0.621,-0.285,Democratic,Idaho,1
Missa Eaton,U.S. House,CD-3,2012,-1.404,-1.628,-1.187,Democratic,Pennsylvania,3
Mike Kelly,U.S. House,CD-3,2010,1.439,1.274,1.603,Republican,Pennsylvania,3
Mike Kelly,U.S. House,CD-3,2012,1.593,1.461,1.727,Republican,Pennsylvania,3
Mike Kelly,U.S. House,CD-3,2014,1.534,1.385,1.678,Republican,Pennsylvania,3
Mike Kelly,U.S. House,CD-3,2016,1.657,1.494,1.817,Republican,Pennsylvania,3
Mike Kelly,U.S. House,CD-16,2018,1.85,1.723,1.979,Republican,Pennsylvania,16
Mike Kelly,U.S. House,CD-16,2020,1.983,1.838,2.132,Republican,Pennsylvania,16
Mike Kelly,U.S. House,CD-16,2022,1.949,1.803,2.102,Republican,Pennsylvania,16
Mike Kelly,U.S. House,CD-16,2024,1.789,1.627,1.942,Republican,Pennsylvania,16
Kathy Dahlkemper,U.S. House,CD-3,2010,-1.91,-2.086,-1.733,Democratic,Pennsylvania,3
Steven R. Rothman,U.S. House,CD-9,2010,-2.221,-2.427,-2.022,Democratic,New Jersey,9
Phil Roe,U.S. House,CD-1,2010,1.48,1.296,1.658,Republican,Tennessee,1
Phil Roe,U.S. House,CD-1,2012,1.601,1.466,1.737,Republican,Tennessee,1
Phil Roe,U.S. House,CD-1,2014,1.579,1.436,1.721,Republican,Tennessee,1
Phil Roe,U.S. House,CD-1,2016,1.482,1.328,1.636,Republican,Tennessee,1
Phil Roe,U.S. House,CD-1,2018,1.627,1.486,1.772,Republican,Tennessee,1
Herb Rule,U.S. House,CD-2,2012,-1.371,-1.602,-1.139,Democratic,Arkansas,2
Tim Griffin,U.S. House,CD-2,2010,1.516,1.332,1.695,Republican,Arkansas,2
Tim Griffin,U.S. House,CD-2,2012,1.607,1.466,1.748,Republican,Arkansas,2
Kesha Rogers,U.S. House,CD-22,2010,-1.2,-1.451,-0.953,Democratic,Texas,22
Kesha Rogers,U.S. House,CD-22,2012,-1.195,-1.417,-0.968,Democratic,Texas,22
Kesha Rogers,U.S. House,CD-9,2018,-1.4,-1.74,-1.073,Other,Texas,9
Zoe Lofgren,U.S. House,CD-16,2010,-2.602,-2.822,-2.387,Democratic,California,16
Zoe Lofgren,U.S. House,CD-19,2012,-2.481,-2.659,-2.307,Democratic,California,19
Zoe Lofgren,U.S. House,CD-19,2014,-2.472,-2.655,-2.288,Democratic,California,19
Zoe Lofgren,U.S. House,CD-19,2016,-2.355,-2.54,-2.171,Democratic,California,19
Zoe Lofgren,U.S. House,CD-19,2018,-2.359,-2.541,-2.173,Democratic,California,19
Zoe Lofgren,U.S. House,CD-19,2020,-2.296,-2.494,-2.1,Democratic,California,19
Zoe Lofgren,U.S. House,CD-18,2022,-2.223,-2.44,-1.993,Democratic,California,18
Zoe Lofgren,U.S. House,CD-18,2024,-2.217,-2.471,-1.962,Democratic,California,18
Alan Grayson,U.S. House,CD-8,2010,-3.092,-3.271,-2.918,Democratic,Florida,8
Alan Grayson,U.S. House,CD-9,2012,-3.04,-3.215,-2.872,Democratic,Florida,9
Alan Grayson,U.S. House,CD-9,2014,-2.638,-2.859,-2.427,Democratic,Florida,9
"Frank Kratovil, Jr.",U.S. House,CD-1,2010,-1.25,-1.434,-1.065,Democratic,Maryland,1
Marcia L. Fudge,U.S. House,CD-11,2010,-2.349,-2.548,-2.155,Democratic,Ohio,11
Marcia L. Fudge,U.S. House,CD-11,2012,-2.439,-2.585,-2.294,Democratic,Ohio,11
Marcia L. Fudge,U.S. House,CD-11,2014,-2.54,-2.688,-2.396,Democratic,Ohio,11
Marcia L. Fudge,U.S. House,CD-11,2016,-2.519,-2.662,-2.371,Democratic,Ohio,11
Marcia L. Fudge,U.S. House,CD-11,2018,-2.602,-2.761,-2.448,Democratic,Ohio,11
Marcia L. Fudge,U.S. House,CD-11,2020,-2.556,-2.729,-2.384,Democratic,Ohio,11
Jeff Sinnard,U.S. House,CD-1,2012,-1.127,-1.411,-0.838,Democratic,Ohio,1
Jeff Fortenberry,U.S. House,CD-1,2010,1.318,1.049,1.565,Republican,Nebraska,1
Jeff Fortenberry,U.S. House,CD-1,2012,1.438,1.32,1.559,Republican,Nebraska,1
Jeff Fortenberry,U.S. House,CD-1,2014,1.333,1.189,1.479,Republican,Nebraska,1
Jeff Fortenberry,U.S. House,CD-1,2016,1.337,1.178,1.496,Republican,Nebraska,1
Jeff Fortenberry,U.S. House,CD-1,2018,1.596,1.439,1.755,Republican,Nebraska,1
Jeff Fortenberry,U.S. House,CD-1,2020,1.852,1.685,2.033,Republican,Nebraska,1
Sam Graves,U.S. House,CD-6,2010,1.584,1.427,1.739,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2012,1.603,1.489,1.72,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2014,1.577,1.437,1.718,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2016,1.694,1.541,1.853,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2018,1.816,1.673,1.958,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2020,2.013,1.855,2.176,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2022,1.965,1.804,2.118,Republican,Missouri,6
Sam Graves,U.S. House,CD-6,2024,2.006,1.829,2.187,Republican,Missouri,6
Ike Skelton,U.S. House,CD-4,2010,-0.91,-1.092,-0.731,Democratic,Missouri,4
John Lewis,U.S. House,CD-5,2010,-2.79,-2.972,-2.596,Democratic,Georgia,5
John Lewis,U.S. House,CD-5,2012,-2.892,-3.041,-2.753,Democratic,Georgia,5
John Lewis,U.S. House,CD-5,2014,-2.745,-2.92,-2.574,Democratic,Georgia,5
John Lewis,U.S. House,CD-5,2016,-2.586,-2.752,-2.418,Democratic,Georgia,5
John Lewis,U.S. House,CD-5,2018,-2.594,-2.78,-2.403,Democratic,Georgia,5
Raul Grijalva,U.S. House,CD-7,2010,-2.872,-3.081,-2.666,Democratic,Arizona,7
Raul Grijalva,U.S. House,CD-3,2012,-2.989,-3.173,-2.813,Democratic,Arizona,3
Raul Grijalva,U.S. House,CD-3,2014,-2.647,-2.844,-2.447,Democratic,Arizona,3
Raul Grijalva,U.S. House,CD-3,2016,-2.676,-2.859,-2.501,Democratic,Arizona,3
Raul Grijalva,U.S. House,CD-3,2018,-2.72,-2.907,-2.534,Democratic,Arizona,3
Raul Grijalva,U.S. House,CD-3,2020,-2.8,-2.987,-2.618,Democratic,Arizona,3
Raul Grijalva,U.S. House,CD-7,2022,-2.714,-2.883,-2.54,Democratic,Arizona,7
Raul Grijalva,U.S. House,CD-7,2024,-2.722,-2.911,-2.53,Democratic,Arizona,7
Gabriela Saucedo Mercer,U.S. House,CD-3,2012,0.838,0.589,1.087,Republican,Arizona,3
Gabriela Saucedo Mercer,U.S. House,CD-3,2014,0.923,0.687,1.162,Republican,Arizona,3
Michelle Lujan Grasham,U.S. House,CD-1,2012,-1.983,-2.127,-1.831,Democratic,New Mexico,1
Michelle Lujan Grasham,U.S. House,CD-1,2014,-2.226,-2.361,-2.092,Democratic,New Mexico,1
Michelle Lujan Grasham,U.S. House,CD-1,2016,-2.241,-2.395,-2.089,Democratic,New Mexico,1
Michelle Lujan Grasham,Governor,Gov,2018,-2.4,-2.538,-2.264,Democratic,New Mexico,103
Michelle Lujan Grasham,Governor,Gov,2022,-2.529,-2.629,-2.427,Democratic,New Mexico,103
Janice Arnold-Jones,U.S. House,CD-1,2012,1.177,1.027,1.328,Republican,New Mexico,1
Janice Arnold-Jones,U.S. House,CD-1,2018,1.212,1.008,1.412,Republican,New Mexico,1
Brad Staats,U.S. House,CD-5,2012,1.63,1.332,1.946,Republican,Tennessee,5
Kathy Castor,U.S. House,CD-11,2010,-2.108,-2.295,-1.931,Democratic,Florida,11
Kathy Castor,U.S. House,CD-14,2012,-1.98,-2.129,-1.838,Democratic,Florida,14
Kathy Castor,U.S. House,CD-14,2014,-1.826,-1.979,-1.671,Democratic,Florida,14
Kathy Castor,U.S. House,CD-14,2016,-1.778,-1.917,-1.64,Democratic,Florida,14
Kathy Castor,U.S. House,CD-14,2018,-1.795,-1.943,-1.647,Democratic,Florida,14
Kathy Castor,U.S. House,CD-14,2020,-1.808,-1.965,-1.656,Democratic,Florida,14
Kathy Castor,U.S. House,CD-14,2022,-1.804,-1.941,-1.668,Democratic,Florida,14
Kathy Castor,U.S. House,CD-14,2024,-1.835,-2.02,-1.655,Democratic,Florida,14
Adam B. Schiff,U.S. House,CD-29,2010,-1.862,-2.051,-1.675,Democratic,California,29
Adam B. Schiff,U.S. House,CD-28,2012,-1.957,-2.107,-1.803,Democratic,California,28
Adam B. Schiff,U.S. House,CD-28,2014,-2.137,-2.3,-1.977,Democratic,California,28
Adam B. Schiff,U.S. House,CD-28,2016,-2.173,-2.348,-1.993,Democratic,California,28
Adam B. Schiff,U.S. House,CD-28,2018,-2.451,-2.621,-2.286,Democratic,California,28
Adam B. Schiff,U.S. House,CD-28,2020,-2.55,-2.716,-2.392,Democratic,California,28
Adam B. Schiff,U.S. House,CD-30,2022,-2.403,-2.558,-2.248,Democratic,California,30
Adam B. Schiff,U.S. Senate,Sen-I,2024,-2.452,-2.619,-2.29,Democratic,California,100
Judy Chu,U.S. House,CD-32,2010,-1.968,-2.202,-1.739,Democratic,California,32
Judy Chu,U.S. House,CD-27,2012,-1.961,-2.127,-1.795,Democratic,California,27
Judy Chu,U.S. House,CD-27,2014,-2.087,-2.253,-1.922,Democratic,California,27
Judy Chu,U.S. House,CD-27,2016,-2.057,-2.221,-1.889,Democratic,California,27
Judy Chu,U.S. House,CD-27,2018,-2.216,-2.382,-2.057,Democratic,California,27
Judy Chu,U.S. House,CD-27,2020,-2.162,-2.328,-1.998,Democratic,California,27
Judy Chu,U.S. House,CD-28,2022,-2.181,-2.352,-2.014,Democratic,California,28
Judy Chu,U.S. House,CD-28,2024,-2.197,-2.389,-2.006,Democratic,California,28
Jack Orswell,U.S. House,CD-27,2012,0.92,0.634,1.199,Republican,California,27
Jack Orswell,U.S. House,CD-27,2014,0.953,0.734,1.172,Republican,California,27
Jack Orswell,U.S. House,CD-27,2016,0.846,0.562,1.127,Republican,California,27
Barney Frank,U.S. House,CD-4,2010,-3.361,-3.581,-3.14,Democratic,Massachusetts,4
Jim Reed,U.S. House,CD-2,2010,-0.893,-1.121,-0.666,Democratic,California,2
Jim Reed,U.S. House,CD-1,2012,-0.884,-1.076,-0.697,Democratic,California,1
Jim Reed,U.S. House,CD-1,2016,-0.907,-1.157,-0.665,Democratic,California,1
Doug La Malfa,U.S. House,CD-1,2012,1.746,1.603,1.895,Republican,California,1
Doug La Malfa,U.S. House,CD-1,2014,1.715,1.603,1.836,Republican,California,1
Doug La Malfa,U.S. House,CD-1,2016,1.688,1.528,1.843,Republican,California,1
Doug La Malfa,U.S. House,CD-1,2018,1.962,1.795,2.129,Republican,California,1
Doug La Malfa,U.S. House,CD-1,2020,2.036,1.876,2.198,Republican,California,1
Doug La Malfa,U.S. House,CD-1,2022,2.04,1.887,2.198,Republican,California,1
Doug La Malfa,U.S. House,CD-1,2024,1.917,1.735,2.098,Republican,California,1
Jerry McNerney,U.S. House,CD-11,2010,-2.089,-2.254,-1.927,Democratic,California,11
Jerry McNerney,U.S. House,CD-9,2012,-1.905,-2.042,-1.772,Democratic,California,9
Jerry McNerney,U.S. House,CD-9,2014,-1.919,-2.078,-1.76,Democratic,California,9
Jerry McNerney,U.S. House,CD-9,2016,-1.851,-2.024,-1.675,Democratic,California,9
Jerry McNerney,U.S. House,CD-9,2018,-1.872,-2.05,-1.694,Democratic,California,9
Jerry McNerney,U.S. House,CD-9,2020,-1.84,-2.033,-1.649,Democratic,California,9
Jose Hernandez,U.S. House,CD-10,2012,-1.974,-2.231,-1.728,Democratic,California,10
